,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,area
48670,7309774077,14900,2014-01-01,dodge,journey,excellent,6,gas,44000.0,clean,automatic,4wd,SUV,mw
48671,7309770113,7999,2010-01-01,ford,ranger,good,6,gas,163137.0,clean,automatic,4wd,pickup,mw
48672,7309768308,7999,2013-01-01,hyundai,sonata,good,4,gas,89381.0,clean,automatic,fwd,sedan,mw
48673,7309767355,9499,2011-01-01,chevrolet,tahoe police,good,8,gas,126946.0,clean,automatic,rwd,SUV,mw
48674,7309765668,8499,2014-01-01,chevrolet,impala,good,6,gas,116251.0,clean,automatic,fwd,sedan,mw
48675,7309729562,6500,2010-01-01,mini,cooper,like new,4,gas,96500.0,clean,manual,fwd,coupe,mw
48676,7309728810,12999,2004-01-01,bmw,650ci,like new,8,gas,86000.0,clean,automatic,rwd,coupe,mw
48677,7309706186,14700,2014-01-01,toyota,rav4 awd,like new,4,gas,74394.0,clean,automatic,4wd,SUV,mw
48678,7309587548,21000,2018-01-01,chevrolet,impala,excellent,6,gas,45300.0,clean,automatic,fwd,sedan,mw
48679,7309540497,39988,2018-01-01,volkswagen,atlas,excellent,6,gas,33946.0,clean,automatic,4wd,SUV,mw
48680,7309540492,48572,2019-01-01,ram,1500,excellent,8,gas,47841.0,clean,automatic,4wd,truck,mw
48681,7309540482,46960,2020-01-01,jeep,grand cherokee,excellent,8,gas,16975.0,clean,automatic,4wd,SUV,mw
48682,7309539808,9753,2010-01-01,hyundai,genesis,excellent,8,gas,121666.0,clean,automatic,rwd,sedan,mw
48683,7309539780,42823,2017-01-01,ram,1500,excellent,8,gas,46152.0,clean,automatic,4wd,truck,mw
48684,7309539761,35986,2019-01-01,volvo,xc40,excellent,4,gas,29401.0,clean,automatic,4wd,SUV,mw
48685,7309539763,39329,2020-01-01,volkswagen,atlas cross sport,excellent,4,gas,5271.0,clean,automatic,4wd,SUV,mw
48686,7309539766,34867,2017-01-01,bmw,x5,excellent,6,gas,54919.0,clean,automatic,4wd,SUV,mw
48687,7309539773,39988,2018-01-01,audi,q7,excellent,4,gas,38563.0,clean,automatic,4wd,SUV,mw
48688,7309539779,48207,2020-01-01,jeep,gladiator,excellent,6,gas,25931.0,clean,automatic,4wd,truck,mw
48689,7309539562,39988,2017-01-01,toyota,tacoma,excellent,6,gas,21675.0,clean,automatic,4wd,truck,mw
48690,7309539511,36223,2019-01-01,honda,ridgeline,excellent,6,gas,14402.0,clean,automatic,4wd,truck,mw
48691,7309539592,29998,2017-01-01,lexus,es,excellent,4,gas,34807.0,clean,automatic,fwd,sedan,mw
48692,7309539344,39988,2018-01-01,bmw,x5,excellent,6,gas,41152.0,clean,automatic,4wd,SUV,mw
48693,7309539334,34988,2017-01-01,ford,explorer,excellent,6,gas,64868.0,clean,automatic,4wd,SUV,mw
48694,7309477002,7950,2007-01-01,lexus,es 350,good,6,gas,138000.0,clean,automatic,4wd,sedan,mw
48695,7309418399,33995,2018-01-01,toyota,tundra,excellent,8,gas,122390.0,clean,automatic,4wd,truck,mw
48696,7309418402,11995,2017-01-01,chevrolet,cruze,excellent,4,gas,86583.0,clean,automatic,fwd,sedan,mw
48697,7309410923,13800,2016-01-01,honda,civic,excellent,4,gas,84000.0,clean,automatic,fwd,sedan,mw
48698,7309402651,8700,2010-01-01,ford,edge sel awd,excellent,6,gas,124000.0,clean,automatic,4wd,SUV,mw
48699,7309390243,15600,2013-01-01,honda,pilot exl awd,excellent,6,gas,120000.0,clean,automatic,4wd,SUV,mw
48700,7309379155,4950,2007-01-01,ford,fusion,excellent,4,gas,113000.0,clean,automatic,fwd,sedan,mw
48701,7309372261,14495,2014-01-01,subaru,forester 2.5i touring awd,good,4,gas,117700.0,clean,automatic,4wd,SUV,mw
48702,7309336285,14000,2016-01-01,chrysler,300,like new,6,gas,63000.0,clean,manual,rwd,sedan,mw
48703,7309288519,22500,2018-01-01,jeep,grand cherokee,like new,6,gas,129000.0,clean,automatic,4wd,SUV,mw
48704,7309203813,47590,2019-01-01,infiniti,qx80 luxe sport utility,good,8,gas,19736.0,clean,other,rwd,other,mw
48705,7309185555,12800,2013-01-01,gmc,terrain sle awd,excellent,6,gas,113503.0,clean,automatic,4wd,SUV,mw
48706,7309175526,33590,2018-01-01,lexus,gs 350 sedan 4d,good,6,gas,30814.0,clean,automatic,rwd,sedan,mw
48707,7309147662,41000,2019-01-01,mini,t class b campervan,excellent,4,gas,29288.0,clean,automatic,fwd,van,mw
48708,7309060171,45900,2020-01-01,ford,explorer st,like new,6,gas,23000.0,clean,automatic,4wd,SUV,mw
48709,7309026927,4300,2007-01-01,mercedes-benz,c280 4matic,excellent,6,gas,147000.0,clean,automatic,4wd,sedan,mw
48710,7309022027,3500,2005-01-01,chevrolet,equinox lt awd,excellent,6,gas,180000.0,clean,automatic,4wd,SUV,mw
48711,7308813140,18799,2007-01-01,jeep,wrangler,good,6,gas,138000.0,clean,manual,4wd,offroad,mw
48712,7308808610,36590,2019-01-01,gmc,sierra 1500 limited double,good,8,gas,14222.0,clean,other,4wd,pickup,mw
48713,7308808522,22990,2015-01-01,chevrolet,camaro lt coupe 2d,good,6,gas,25865.0,clean,other,rwd,coupe,mw
48714,7308808492,26590,2013-01-01,jeep,wrangler rubicon sport,good,6,gas,79540.0,clean,other,4wd,SUV,mw
48715,7308807781,16000,2015-01-01,audi,a3,like new,4,gas,99300.0,clean,automatic,4wd,sedan,mw
48716,7308740575,35590,2011-01-01,dodge,challenger srt8 coupe 2d,good,8,gas,16796.0,clean,other,rwd,coupe,mw
48717,7308740566,41990,2018-01-01,toyota,tundra crewmax sr5 pickup,good,8,other,34035.0,clean,other,4wd,pickup,mw
48718,7308721500,4400,2007-01-01,volvo,s60,excellent,4,gas,174000.0,clean,automatic,fwd,sedan,mw
48719,7308591991,5900,2007-01-01,honda,accord,good,4,gas,169105.0,clean,automatic,fwd,sedan,mw
48720,7308577256,13800,2013-01-01,audi,a4,good,4,gas,117582.0,clean,automatic,4wd,sedan,mw
48721,7308574737,8200,2008-01-01,bmw,1-series,good,6,gas,132337.0,clean,automatic,rwd,coupe,mw
48722,7308569128,17000,2016-01-01,ford,flex limited awd,excellent,6,gas,82000.0,clean,automatic,4wd,SUV,mw
48723,7308392922,36955,2015-01-01,dodge,challenger,excellent,8,gas,47681.0,clean,automatic,rwd,coupe,mw
48724,7308392919,22955,2016-01-01,ford,flex,excellent,6,gas,55401.0,clean,automatic,4wd,SUV,mw
48725,7308364545,34655,2017-01-01,bmw,x5,excellent,6,gas,25044.0,clean,automatic,4wd,SUV,mw
48726,7308364531,27995,2015-01-01,gmc,sierra 1500,excellent,8,gas,96435.0,clean,automatic,4wd,truck,mw
48727,7308335149,11995,2013-01-01,lincoln,mkz,good,6,gas,129110.0,clean,automatic,4wd,sedan,mw
48728,7308264541,10995,2009-01-01,nissan,pathfinder se,excellent,6,gas,137000.0,clean,automatic,4wd,SUV,mw
48729,7307916776,23765,2016-01-01,chrysler,300,excellent,6,gas,33000.0,clean,automatic,4wd,sedan,mw
48730,7307916496,10975,2014-01-01,ford,taurus,excellent,6,gas,106362.0,clean,automatic,fwd,sedan,mw
48731,7307910327,19995,2018-01-01,subaru,forester premium,excellent,4,gas,68000.0,clean,automatic,4wd,SUV,mw
48732,7307879687,24999,2010-01-01,gmc,sierra 1500,like new,8,gas,58500.0,clean,automatic,4wd,truck,mw
48733,7307878494,2200,2006-01-01,ford,fusion se ecoboost sedan,good,6,gas,196733.0,clean,automatic,fwd,sedan,mw
48734,7307873904,9600,2015-01-01,chevrolet,malibu,like new,4,gas,83000.0,lien,automatic,fwd,sedan,mw
48735,7307844201,18500,2012-01-01,ford,f-150,excellent,6,gas,139700.0,lien,automatic,4wd,truck,mw
48736,7307782588,35995,2016-01-01,toyota,4runner,excellent,6,gas,58886.0,clean,automatic,4wd,SUV,mw
48737,7307782418,36595,2020-01-01,ford,f-150,excellent,6,gas,37407.0,clean,automatic,4wd,truck,mw
48738,7307756550,5999,2010-01-01,ford,transit,good,4,gas,109364.0,clean,automatic,fwd,van,mw
48739,7307728349,22000,2018-01-01,jeep,grand cherokee,like new,6,gas,129000.0,clean,automatic,4wd,SUV,mw
48740,7307717843,26995,2015-01-01,chevrolet,suburban,good,8,gas,93970.0,clean,automatic,4wd,SUV,mw
48741,7307717250,39995,2015-01-01,gmc,sierra 2500hd,good,8,diesel,162210.0,clean,automatic,4wd,truck,mw
48742,7307716880,41995,2018-01-01,gmc,yukon,excellent,8,gas,118021.0,clean,automatic,4wd,SUV,mw
48743,7307706746,15975,2012-01-01,dodge,grand caravan,good,6,gas,109528.0,clean,automatic,fwd,van,mw
48744,7307706750,27975,2004-01-01,chevrolet,corvette,good,8,gas,7870.0,clean,automatic,rwd,coupe,mw
48745,7307706755,15975,2010-01-01,honda,element,good,4,gas,92970.0,clean,automatic,4wd,SUV,mw
48746,7307693625,29995,2017-01-01,nissan,z,good,6,gas,16835.0,clean,other,rwd,coupe,mw
48747,7307693529,36995,2018-01-01,ford,mustang,good,8,gas,34600.0,clean,automatic,rwd,convertible,mw
48748,7307691817,31500,2018-01-01,mazda,cx-9 grand touring,excellent,4,gas,34000.0,lien,automatic,4wd,SUV,mw
48749,7307677684,26895,2016-01-01,rover,lr4,excellent,6,gas,102137.0,clean,automatic,4wd,wagon,mw
